Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	\\172.16.13.136\share\members\Dongzhen\ProteomEx2_benchmark\LC_gradients\N20221016dongz_ProteomEx2_exp_I\N20221016dongzhen_ProteomEx2_35min_DIA_1_Slot1-10_1_16001.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2_benchmark\LC_gradients\N20221016dongz_ProteomEx2_exp_I\N20221016dongzhen_ProteomEx2_35min_DIA_2_Slot1-10_1_16003.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2_benchmark\LC_gradients\N20221016dongz_ProteomEx2_exp_I\N20221016dongzhen_ProteomEx2_35min_DIA_3_Slot1-10_1_16006.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2_benchmark\LC_gradients\N20221016dongz_ProteomEx2_exp_I\N20221016dongzhen_ProteomEx2_65min_DIA_1_Slot1-10_1_16002.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2_benchmark\LC_gradients\N20221016dongz_ProteomEx2_exp_I\N20221016dongzhen_ProteomEx2_65min_DIA_2_Slot1-10_1_16005.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2_benchmark\LC_gradients\N20221016dongz_ProteomEx2_exp_I\N20221016dongzhen_ProteomEx2_65min_DIA_3_Slot1-10_1_16007.d
A0JNU3	A0JNU3		Aspg		108381	93630.6	97322.5	112698	111855	98126.9
A1L314	A1L314		Mpeg1		5458.15	6493.71	6353.94	6452.59	5875.55	5083.2
A2A432	A2A432		Cul4b		5218.71	6424.12	5394.26	6682.54	6561.07	7046.57
A2A4P0	A2A4P0		Dhx8		1527.52	2241.3	2544.7	2635.97	2317.73	2838.13
A2A5R2	A2A5R2		Arfgef2		9542.48	10289.7	10521.7	9476.27	9699.19	9232.38
A2A5Z6	A2A5Z6		Smurf2		2045.28	1916.3		1364.03	1334.25	1122.56
A2A690	A2A690		Tanc2		4541.08	4455.5	4195.57			
A2A791	A2A791		Zmym4		6521.3	7557.26	6931.62	8568.57		6505.8
A2A8L5	A2A8L5		Ptprf		15897.4	17705.8	15962.7	17008.5	16748.7	16754.9
A2A8U2	A2A8U2		Tmem201		7837.37	8619.81	8766.2	7969.02	8196.78	6495.09
A2A8Z1	A2A8Z1		Osbpl9		14807.5	13420.3	13261	12808.2	15768.9	13605.3
A2A935	A2A935		Prdm16		5367.2	4799.31	3887.43	3906.68	3672.65	3488.28
A2AAE1	A2AAE1		Kiaa1109		23364.7	22395.6	25402.3	18318.4	19349.9	22243
A2AAY5	A2AAY5		Sh3pxd2b		4806.92	4449.3	5102.22	3796.64	3757.54	3796.05
A2ADA5	A2ADA5		Pusl1		1156.22	1225.7	979.017	1282.79	1127.79	774.351
A2ADY9	A2ADY9		Ddi2		16198.3	16048.7	15233.2	14764.4	14947.5	14379.8
A2AGH6	A2AGH6		Med12			991.86	776.972	1011.14	1285.47	1231.12
A2AGT5	A2AGT5		Ckap5		11093.1	14025.6	13570.9	14500.9	13771	13017.4
A2AH22	A2AH22		Ambra1		4601.5	5519.82	4816.01			
A2AIG8	A2AIG8		Accs		2121.96	4328.41	3081.29	3204.32	3640.04	4134.45
A2AIL4	A2AIL4		Ndufaf6		3161.76	3481.96	3347.31	4036.29	3918.03	3501.83
A2AJ15	A2AJ15		Man1b1		4527.5	5262.6	5156.04	3324.05	4032.62	3468.17
A2AJ88	A2AJ88		Pnpla7		5181.06	6132	5623.02	6635.43	6665.26	5176.14
A2AJL3	A2AJL3		Fggy		35351.2	36135.8	36261.1	38286.5	37467.1	38067.7
A2AKB9	A2AKB9		Dcaf10				4277.92	4855.67	4687.27	4588.02
A2AKG8	A2AKG8		Focad		10879.6	11686.8	11278.3	12263	11844.4	11501.5
A2AKK5	A2AKK5		Acnat1		23263.6	32548.8	33315.3	34840.8	26360	32367.2
A2AKQ0	A2AKQ0		Slc35d1		5615.75	5133.47	4846.74	4327.08	3936.43	4146.02
A2AL36	A2AL36		Cntrl		45602.9	39815.4	35254.4	42269.5	47228.1	43061.1
A2ALK8	A2ALK8		Ptpn3		4919.24	5917.98	6124.06	4457.35	4741.61	4481.14
A2ALU4	A2ALU4		Shroom2		10405.5	11568.6	11963.1	11259.8	10683.8	8591.49
A2ALW5	A2ALW5		Dnajc25		3794.19	5283.17	4637.52	5824.16	6041.93	5836.11
A2AN08	A2AN08		Ubr4		25748.2	26547.2	24818.8	26287.7	25637.4	27234.2
A2APT9	A2APT9		Klhdc7a		9024.1	9532.77	8821.32	10787.1	9942.71	10183.9
