Group	SubGroup	Protein	Protein ID	Entry Name	Gene	Length	Percent Coverage	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
1	a	CON_ALDOA_RABIT|SWISS-PROT:P00883	CON_ALDOA_RABIT|SWISS-PROT:P00883 Rabbit fructose-bisphosphate aldolase A			360	80.00				1.0000	0.9990	35	0	0	147	0	0	     0	     0	     0			
2	a	CON_CASA1|SWISS-PROT:P02662	CON_CASA1|SWISS-PROT:P02662 Alpha-S1-casein - Bos taurus (Bovine).			199	28.10				1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0			
4	a	CON_CASB|SWISS-PROT:P02666	CON_CASB|SWISS-PROT:P02666 Beta-casein - Bos taurus (Bovine).			209	33.50				1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0			
7	a	CON_IPI00019359.3|SWISS-PROT:P35527	CON_IPI00019359.3|SWISS-PROT:P35527 Tax_Id=9606 Gene_Symbol=KRT9 Keratin, type I cytoskeletal 9			623	98.20				1.0000	0.9990	164	161	164	926	918	926	     0	     0	     0	10M(15.9949), 15M(15.9949), 1M(15.9949), 25M(15.9949), 2C(57.0215), 3M(15.9949), 4N(54.0474), 5C(57.0215), 5M(15.9949), 6M(15.9949), 7M(15.9949), 8M(15.9949), 9R(54.0474)		
8	a	CON_IPI00454602.3|TREMBL:A3EZ82;Q32W66	CON_IPI00454602.3|TREMBL:A3EZ82;Q32W66 Tax_Id=9606 Gene_Symbol=DMKN Dermokine			476	13.40				1.0000	0.9990	2	2	2	6	6	6	     0	     0	     0			
9	a	CON_IPI00694255.1|TREMBL:Q3SX14	CON_IPI00694255.1|TREMBL:Q3SX14 (Bos taurus) Similar to Gelsolin			781	21.10				1.0000	0.9990	4	0	0	4	0	0	     0	     0	     0			
11	a	CON_LYSC_CHICK|SWISS-PROT:P00698	CON_LYSC_CHICK|SWISS-PROT:P00698 Hen egg lysozyme C precursor			147	58.10				1.0000	0.9990	5	0	5	6	0	6	     0	     0	     0	9C(57.0215)		CON_LYSOZYME|SWISS-PROT:P00698
13	a	CON_LysC|SWISS-PROT:P15636	CON_LysC|SWISS-PROT:P15636 Protease I precursor Lysyl endopeptidase Achromobacter lyticus.			653	34.60				1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0			
14	a	CON_MSA|SWISS-PROT:P07724	CON_MSA|SWISS-PROT:P07724 Serum albumin - Mus musculus (Mouse).			608	22.40				1.0000	0.9990	3	0	2	5	0	4	     0	     0	     0			sp|P07724|ALBU_MOUSE
15	a	CON_OVAL|SWISS-PROT:P01012	CON_OVAL|SWISS-PROT:P01012 Ovalbumin - Gallus gallus (Chicken).			386	46.90				1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0			
