Group	SubGroup	Protein	Protein ID	Entry Name	Gene	Length	Percent Coverage	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
1	a	CON_ALDOA_RABIT|SWISS-PROT:P00883	CON_ALDOA_RABIT|SWISS-PROT:P00883 Rabbit fructose-bisphosphate aldolase A			360	80.00				1.0000	0.9990	15	0	0	43	0	0	     0	     0	     0			
3	a	CON_CASA2|SWISS-PROT:P02663	CON_CASA2|SWISS-PROT:P02663 Alpha-S2-casein [Contains: Casocidin-1 - Bos taurus (Bovine).			207	14.50				1.0000	0.9986	1	1	1	1	1	1	     0	     0	     0			
6	a	CON_IPI00019359.3|SWISS-PROT:P35527	CON_IPI00019359.3|SWISS-PROT:P35527 Tax_Id=9606 Gene_Symbol=KRT9 Keratin, type I cytoskeletal 9			623	98.70				1.0000	0.9990	41	40	41	189	185	189	     0	     0	     0	1M(15.9949), 3M(15.9949), 5M(15.9949), 8M(15.9949)		
7	a	CON_IPI00454602.3|TREMBL:A3EZ82;Q32W66	CON_IPI00454602.3|TREMBL:A3EZ82;Q32W66 Tax_Id=9606 Gene_Symbol=DMKN Dermokine			476	14.10				1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0			
8	a	CON_IPI00694255.1|TREMBL:Q3SX14	CON_IPI00694255.1|TREMBL:Q3SX14 (Bos taurus) Similar to Gelsolin			781	21.10				1.0000	0.9990	1	0	0	1	0	0	     0	     0	     0			
9	a	CON_IPI00708398.1|SWISS-PROT:P02769	CON_IPI00708398.1|SWISS-PROT:P02769 (Bos taurus) Bovine serum albumin precursor			607	31.30				1.0000	0.9990	1	0	0	1	0	0	     0	     0	     0			
10	a	CON_IPI00745872.2|SWISS-PROT:P02768-1	CON_IPI00745872.2|SWISS-PROT:P02768-1 Tax_Id=9606 Gene_Symbol=ALB Isoform 1 of Serum albumin precursor			609	65.40				1.0000	0.9990	4	3	4	5	4	5	     0	     0	     0			
14	a	CON_LysC|SWISS-PROT:P15636	CON_LysC|SWISS-PROT:P15636 Protease I precursor Lysyl endopeptidase Achromobacter lyticus.			653	34.60				1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0			
15	a	CON_MSA|SWISS-PROT:P07724	CON_MSA|SWISS-PROT:P07724 Serum albumin - Mus musculus (Mouse).			608	25.00				1.0000	0.9990	1	0	0	1	0	0	     0	     0	     0			sp|P07724|ALBU_MOUSE
39	a	sp|A2AKG8|FOCAD_MOUSE	A2AKG8	FOCAD_MOUSE	Focad	1798	3.20	Mus musculus OX=10090	Focadhesin 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0			
