Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221203dongzhen_InTip_350um_65min_DIA_1_Slot2-34_1_17045.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221203dongzhen_InTip_350um_65min_DIA_2_Slot2-34_1_17047.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221203dongzhen_InTip_350um_65min_DIA_3_Slot2-34_1_17049.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221203dongzhen_InTip_500um_65min_DIA_1_Slot2-35_1_17057.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221203dongzhen_InTip_500um_65min_DIA_2_Slot2-35_1_17059.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221203dongzhen_InTip_500um_65min_DIA_3_Slot2-35_1_17061.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221203dongzhen_InTip_750um_65min_DIA_1_Slot2-36_1_17070.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221203dongzhen_InTip_750um_65min_DIA_2_Slot2-36_1_17072.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221203dongzhen_InTip_750um_65min_DIA_3_Slot2-36_1_17074.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InGel_1mm_65min_DIA_1_Slot2-34_1_17084.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InGel_1mm_65min_DIA_2_Slot2-34_1_17086.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InGel_1mm_65min_DIA_3_Slot2-34_1_17088.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InGel_1500um_65min_DIA_1_Slot2-37_1_17108.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InGel_1500um_65min_DIA_2_Slot2-37_1_17114.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InGel_1500um_65min_DIA_3_Slot2-37_1_17116.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InTip_1mm_65min_DIA_1_Slot2-33_1_17082.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InTip_1mm_65min_DIA_2_Slot2-33_1_17090.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InTip_1mm_65min_DIA_3_Slot2-33_1_17092.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InTip_1500um_65min_DIA_1_Slot2-35_1_17106.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InTip_1500um_65min_DIA_2_Slot2-35_1_17110.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InTip_1500um_65min_DIA_3_Slot2-35_1_17112.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InGel_2mm_65min_DIA_1_Slot2-34_1_17144.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InGel_2mm_65min_DIA_2_Slot2-34_1_17145.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InGel_2mm_65min_DIA_3_Slot2-34_1_17146.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InGel_3mm_65min_DIA_1_Slot2-36_1_17149.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InGel_3mm_65min_DIA_2_Slot2-36_1_17157.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InGel_3mm_65min_DIA_3_Slot2-36_1_17158.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InTip_2mm_65min_DIA_1_Slot2-33_1_17166.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InTip_2mm_65min_DIA_2_Slot2-33_1_17167.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InTip_2mm_65min_DIA_3_Slot2-33_1_17168.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InTip_3mm_65min_DIA_1_Slot2-35_1_17151.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InTip_3mm_65min_DIA_2_Slot2-35_1_17176.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InTip_3mm_65min_DIA_3_Slot2-35_1_17177.d
A0JNU3	A0JNU3		Aspg		54325.7	60747.1	53481.5	51658.6	54593.7	58552.9	44363.4	49393.2	47864.2	179632	198123	166695	97717.5	104737	91983.4	51297.2	50506.2	56526.7	47317.3	48158.7	44905.6	51340.6	34081.2	37779.4	52921.4	54981.7	55503.2	57236.6	36800.6	36768.4	61997.6	84729.6	67172.4
A2A432	A2A432		Cul4b		4751.85		3333.07	2459.5	1882.61	2489.54	3039.62	3464.89	3300.32		9076.94		3646.71	3288.69	3737.92	2684.68	2783.98	2958.91	3867.15	2911.27	3427.03	3387.45	2671.28	2645.91	3666.32	3448.95	3355.66	3878.85	3062.63	3321.18	4654	2906.7	3057.63
A2A4P0	A2A4P0		Dhx8						1025	406.924		1237.69										655.477	861.839	558.873	769.93	644.464		723.269	1146.43	1078.52	1085.24	692.951	814.966	949.205		1322.51	
A2A5R2	A2A5R2		Arfgef2		4865.16	4871.9	4829.11	4984.19	3751.25	2668.19	3792.08	4244.69	4096.86				1965.09			4253.96	5203.38	3901.06	3861.98	4120.95	3925.23	3997.17	3971.86	3633.94	4252.27	3887.15	4233.22	4744.17	4497.93	5058.43	6869.67	6110.97	6430.22
A2A5Z6	A2A5Z6		Smurf2					1486.77		1122.95	1299.41	660.09	1672.08							699.831	1303.42	1790.12	1146.65	1143.13	932.373	1178.98	1238.16	1157.69	1246.09	1693.86	1559.54		1100.45	849.004			1199.98
A2A7S8	A2A7S8		Kiaa1522																	1423.08	308.073	826.927		838.953	1777.31	1813.16	1374.65	1610.52	1688.29	2091.03	2197.4	1635.51	1924.21	1444.18	3519.13	2502.95	1376.83
A2A8L5	A2A8L5		Ptprf		3523.41	4352.83	3570.27	3828.52	4290.13	4688.29	3795.64	3779.11	4872.18	19748.6	18240.4		8355.22	8389.98	10730.3	5352.62	5785.83	5496.25	4983.86	5828.83	5340.39	6890.58	5967.98	5894.62	7323	7154.46	5985.51	6187.75	5120.79	6208.86	10782.3	8902.74	6898.17
A2A8U2	A2A8U2		Tmem201					2433.86			1682.34	2413.89	1669.69							2503.08	1976.23	2925.38	2991.39	2182.19	2900.17	3726.9	3259.15	2762.78	3300.23	3396.64	3202.31	3044.41	2649.79	3209.6	3418.42	3384.08	3209.95
A2A8Z1	A2A8Z1		Osbpl9			2742.42	3196.19	3669.09	3916.16	2852.16	3789.71	3331.01	4490.16						5831.35	3929.11	4329.03	3908.13	4354.92	5145.72	4888.5	5872.67	3816.38	5724	7354.44	7679.04	7296.09	6830.88	6701.78	6931.48	9519.14	9957.99	10110.7
A2A935	A2A935		Prdm16		524.047		1165.58	1351.1		460.648	837.083	852.296	419.962	15652.4	14960.7	8775.36	9048.09	8804.69	8012.35	1004.02	953.786	1492.19	1506.72	1673.74	1659.29	1593.14	1502.75	1339.14	2918.13	2922.55	3527.92	2130.95	1382.44	1876.15	3996.02	3765.6	4168.29
A2A9C3	A2A9C3		Szt2								1006.33	802.736												370.539								829.408	765.244	723.604	2109.05	1159.56	947.179
A2AAE1	A2AAE1		Kiaa1109		4867.16	6477.49	6574.79	8117.36	6178.89	7462.9	8814.85	7940.9	8743.38				4123.53	4117.84	4260.98	10052.9	8824.84	12313.8	11811.8	12407.5	12145.4	19703.2	18227.5	17329.5	27016.7	25720	28651.2	19862.8	19730	22862.9	47782.7	41912.1	43572.5
A2ABV5	A2ABV5		Med14										1456.53										1659.5			1901.06						2294.4	1567.48	1877.14		1699.23	
A2ADA5	A2ADA5		Pusl1						872.082		448.516		994.341							1129.05	1243.48	1019.74	1263.99	1112.51	1053.52			727.151	1045.08	1761.03	1489.11	1066.38	1259.87	1166.15	2253.18	2067.62	2012.14
A2ADY9	A2ADY9		Ddi2		19151.2	16535.1	20467.5	16107.2	14671.9	18577.3	16457.9	17703.1	15044.9	139621	121568	93427.1	53753.1	53987.1	54541.9	29339.4	28216	24260.9	18909.6	21257.6	21575.5	14503.4	14826.6	13814.7	22362.6	18770.3	20011.4	13684.8	15396.1	15786.1	13590.3	13547.8	8333.29
A2AGH6	A2AGH6		Med12								352.68		596.539										295.578	335.717	450.541				732.552	203.604	591.06	360.731	395.434	532.006	444.674	729.11	789.297
A2AGT5	A2AGT5		Ckap5		11297.2	12920.6	9823.4	7343.14	9819.46	11158.4	8867.15	12044.8	11379	34452.5	36346.3	35295.4	14280.5	19106.4	21294.7	13273.1	11729.7	10451.5	11353.3	12502.4	11507.9	9102.49	8110.36	8544.41	10214.3	10586	9565.85	11122.1	8934.95	10263.7	14444.9	11970.4	11740.4
A2AHG0	A2AHG0		Lzts3									823.442								1144.04	547.66	562.083	1081.6	1178.3	1200.24	868.027	783.329	741.229		757.039	97.7823		904.387		1137.42	786.026	1081.3
A2AI05	A2AI05		Ndor1								1200.7		1347.02							1401.22										795.737			840.97				988.355
A2AIG8	A2AIG8		Accs				2537.92					1662.59								2161.92		1854.81	1462.58		1744.1	3871.01	3389.23	2978.84	1859.81	1851.91	2028.65	2058.83	1952.05	1572.79			
A2AIL4	A2AIL4		Ndufaf6		2035.57	3488.51		2168.62	2093.42	2667.64	2037.72	2840.29	2421.87							1842.93	2168.78	1936.79	2075.2	1931.73	1953.79	3249.36	2603.48	2385.61	4259.79	2899.33	3893.62	3007.01	1986.28	3517.89	3575.36	3883.02	4458.63
A2AJ15	A2AJ15		Man1b1					1796.03	2208.87				1864.18								1268.61	1660.24	1747.88	2561.97	2079.62	1370.2	1849.66	1967.46	2246.74	2619.12	2318.32	2532.66	2360.34			2127.15	2730.06
A2AJ88	A2AJ88		Pnpla7		6965.23	5232.58	4795.65	4130.83	5114.07	4608.51	5295.15	6127.87	5560.99							6195.21	6233.41	6543.96	5356.49	4977.57	7011.67	3176.03	3536.1	3595.04	6669.83	5666.74	5585.83	7387.39	7680.33	6566.79	7324.04	6834.69	7555.29
A2AJI0	A2AJI0		Map7d1								3831.78					4510.05	4077.27	4942.46	4848.02				2042.88		2780.76		2775.3	2463.09	1669.21	3792.51	4449.9	3185.97	3648.7	3124.08	9474.16		
