Group	SubGroup	Protein	Protein ID	Entry Name	Gene	Length	Percent Coverage	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
1	a	CON_ALDOA_RABIT|SWISS-PROT:P00883	CON_ALDOA_RABIT|SWISS-PROT:P00883 Rabbit fructose-bisphosphate aldolase A			360	80.00				1.0000	0.9990	37	0	0	162	0	0	     0	     0	     0			
6	a	CON_IPI00019359.3|SWISS-PROT:P35527	CON_IPI00019359.3|SWISS-PROT:P35527 Tax_Id=9606 Gene_Symbol=KRT9 Keratin, type I cytoskeletal 9			623	98.70				1.0000	0.9990	177	174	177	1087	1078	1087	     0	     0	     0	10M(15.9949), 15M(15.9949), 1M(15.9949), 25M(15.9949), 3M(15.9949), 4M(15.9949), 5M(15.9949), 6M(15.9949), 8M(15.9949), 9R(54.0474)		
8	a	CON_IPI00694255.1|TREMBL:Q3SX14	CON_IPI00694255.1|TREMBL:Q3SX14 (Bos taurus) Similar to Gelsolin			781	21.10				1.0000	0.9990	6	0	0	12	0	0	     0	     0	     0			
9	a	CON_IPI00708398.1|SWISS-PROT:P02769	CON_IPI00708398.1|SWISS-PROT:P02769 (Bos taurus) Bovine serum albumin precursor			607	31.30				1.0000	0.9990	4	0	1	7	0	1	     0	     0	     0			
10	a	CON_IPI00745872.2|SWISS-PROT:P02768-1	CON_IPI00745872.2|SWISS-PROT:P02768-1 Tax_Id=9606 Gene_Symbol=ALB Isoform 1 of Serum albumin precursor			609	65.40				1.0000	0.9990	6	3	6	10	4	10	     0	     0	     0			
12	a	CON_LYSC_CHICK|SWISS-PROT:P00698	CON_LYSC_CHICK|SWISS-PROT:P00698 Hen egg lysozyme C precursor			147	58.10				1.0000	0.9990	1	0	1	1	0	1	     0	     0	     0			CON_LYSOZYME|SWISS-PROT:P00698
14	a	CON_LysC|SWISS-PROT:P15636	CON_LysC|SWISS-PROT:P15636 Protease I precursor Lysyl endopeptidase Achromobacter lyticus.			653	34.60				1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
15	a	CON_MSA|SWISS-PROT:P07724	CON_MSA|SWISS-PROT:P07724 Serum albumin - Mus musculus (Mouse).			608	25.00				1.0000	0.9990	5	0	3	6	0	4	     0	     0	     0			sp|P07724|ALBU_MOUSE
16	a	CON_OVAL|SWISS-PROT:P01012	CON_OVAL|SWISS-PROT:P01012 Ovalbumin - Gallus gallus (Chicken).			386	46.90				1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0			
28	a	sp|A2A432|CUL4B_MOUSE	A2A432	CUL4B_MOUSE	Cul4b	970	16.10	Mus musculus OX=10090	Cullin-4B 	1:Experimental evidence at protein level	1.0000	0.9990	5	1	5	9	1	9	     0	     0	     0			
29	a	sp|A2A5R2|BIG2_MOUSE	A2A5R2	BIG2_MOUSE	Arfgef2	1792	11.30	Mus musculus OX=10090	Brefeldin A-inhibited guanine nucleotide-exchange protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	7	6	7	10	8	10	     0	     0	     0	10M(15.9949), 1M(15.9949), 7M(15.9949), 9M(15.9949)		
30	a	sp|A2A690|TANC2_MOUSE	A2A690	TANC2_MOUSE	Tanc2	1994	5.90	Mus musculus OX=10090	Protein TANC2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	4	4	4	     0	     0	     0	15M(15.9949)		
31	a	sp|A2A699|F1712_MOUSE	A2A699	F1712_MOUSE	Fam171a2	822	5.40	Mus musculus OX=10090	Protein FAM171A2 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	8	8	8	     0	     0	     0			
33	a	sp|A2AAJ9|OBSCN_MOUSE	A2AAJ9	OBSCN_MOUSE	Obscn	8886	2.20	Mus musculus OX=10090	Obscurin 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	     0	     0	     0	13M(15.9949), 18R(54.0474), 6Q(54.0474), 9M(15.9949)		
34	a	sp|A2AG50|MA7D2_MOUSE	A2AG50	MA7D2_MOUSE	Map7d2	781	12.30	Mus musculus OX=10090	MAP7 domain-containing protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	5	5	5	     0	     0	     0	4M(15.9949)		
35	a	sp|A2AGT5|CKAP5_MOUSE	A2AGT5	CKAP5_MOUSE	Ckap5	2032	20.60	Mus musculus OX=10090	Cytoskeleton-associated protein 5 	1:Experimental evidence at protein level	1.0000	0.9990	17	17	17	23	23	23	     0	     0	     0			
36	a	sp|A2AHG0|LZTS3_MOUSE	A2AHG0	LZTS3_MOUSE	Lzts3	700	13.30	Mus musculus OX=10090	Leucine zipper putative tumor suppressor 3 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	     0	     0	     0	9M(15.9949)		
37	a	sp|A2AJA9|AJM1_MOUSE	A2AJA9	AJM1_MOUSE	Ajm1	974	11.10	Mus musculus OX=10090	Apical junction component 1 homolog 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	     0	     0	     0	4M(15.9949)		
38	a	sp|A2AJI0|MA7D1_MOUSE	A2AJI0	MA7D1_MOUSE	Map7d1	846	8.50	Mus musculus OX=10090	MAP7 domain-containing protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	     0	     0	     0	2M(15.9949)		
40	a	sp|A2ALS5|RPGP1_MOUSE	A2ALS5	RPGP1_MOUSE	Rap1gap	663	23.50	Mus musculus OX=10090	Rap1 GTPase-activating protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	10	9	10	18	17	18	     0	     0	     0	3M(15.9949), 8C(57.0215)		
41	a	sp|A2AN08|UBR4_MOUSE	A2AN08	UBR4_MOUSE	Ubr4	5180	9.80	Mus musculus OX=10090	E3 ubiquitin-protein ligase UBR4 	1:Experimental evidence at protein level	1.0000	0.9990	19	19	19	27	27	27	     0	     0	     0	11M(15.9949), 17M(15.9949), 1M(15.9949), 3M(15.9949), 6M(15.9949), 7M(15.9949)		
43	a	sp|A2AQ25|SKT_MOUSE	A2AQ25	SKT_MOUSE	Skt	1946	11.30	Mus musculus OX=10090	Sickle tail protein 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	2M(15.9949), 8M(15.9949)		
44	a	sp|A2AQP0|MYH7B_MOUSE	A2AQP0	MYH7B_MOUSE	Myh7b	1941	4.50	Mus musculus OX=10090	Myosin-7B 	3:Protein inferred from homology	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0			
45	a	sp|A2ARS0|ANR63_MOUSE	A2ARS0	ANR63_MOUSE	Ankrd63	390	24.60	Mus musculus OX=10090	Ankyrin repeat domain-containing protein 63 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	20	20	20	     0	     0	     0	14M(15.9949), 2M(15.9949), 4M(15.9949), 6M(15.9949), 9M(15.9949)		
47	a	sp|A2ASZ8|SCMC2_MOUSE	A2ASZ8	SCMC2_MOUSE	Slc25a25	469	21.10	Mus musculus OX=10090	Calcium-binding mitochondrial carrier protein SCaMC-2 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	9	9	9	     0	     0	     0	15M(15.9949), 1M(15.9949), 3M(15.9949), 7M(15.9949)		
48	a	sp|A2AWA9|RBGP1_MOUSE	A2AWA9	RBGP1_MOUSE	Rabgap1	1064	9.80	Mus musculus OX=10090	Rab GTPase-activating protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	13K(54.0474)		
50	a	sp|A2RT62|FXL16_MOUSE	A2RT62	FXL16_MOUSE	Fbxl16	479	22.80	Mus musculus OX=10090	F-box/LRR-repeat protein 16 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	28	28	28	     0	     0	     0	10M(15.9949), 11M(15.9949), 12M(15.9949), 15M(15.9949), 6M(15.9949), 7C(57.0215)		
51	a	sp|A6H5Z3|EXC6B_MOUSE	A6H5Z3	EXC6B_MOUSE	Exoc6b	810	5.60	Mus musculus OX=10090	Exocyst complex component 6B 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0			
52	a	sp|B0V2N1|PTPRS_MOUSE	B0V2N1	PTPRS_MOUSE	Ptprs	1907	12.30	Mus musculus OX=10090	Receptor-type tyrosine-protein phosphatase S 	1:Experimental evidence at protein level	1.0000	0.9990	13	6	6	21	8	8	     0	     0	     0	10M(15.9949), 13M(15.9949)		
53	a	sp|B1AXH1|NHSL2_MOUSE	B1AXH1	NHSL2_MOUSE	Nhsl2	1219	4.30	Mus musculus OX=10090	NHS-like protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	5	5	5	     0	     0	     0	10M(15.9949), 8M(15.9949)		
54	a	sp|B1AY13|UBP24_MOUSE	B1AY13	UBP24_MOUSE	Usp24	2617	7.10	Mus musculus OX=10090	Ubiquitin carboxyl-terminal hydrolase 24 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	     0	     0	     0	1M(15.9949), 7M(15.9949)		
55	a	sp|B1AZP2|DLGP4_MOUSE	B1AZP2	DLGP4_MOUSE	Dlgap4	992	8.60	Mus musculus OX=10090	Disks large-associated protein 4 	1:Experimental evidence at protein level	1.0000	0.9990	4	2	4	5	2	5	     0	     0	     0	10M(15.9949)		
56	a	sp|B2RXC1|TPC11_MOUSE	B2RXC1	TPC11_MOUSE	Trappc11	1133	5.50	Mus musculus OX=10090	Trafficking protein particle complex subunit 11 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	     0	     0	     0			
57	a	sp|B2RY56|RBM25_MOUSE	B2RY56	RBM25_MOUSE	Rbm25	838	7.40	Mus musculus OX=10090	RNA-binding protein 25 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0	8M(15.9949)		
59	a	sp|B9EJA2|CTTB2_MOUSE	B9EJA2	CTTB2_MOUSE	Cttnbp2	1648	8.40	Mus musculus OX=10090	Cortactin-binding protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	15	15	15	     0	     0	     0	1M(15.9949), 5M(15.9949), 6M(15.9949)		
60	a	sp|B9EKR1|PTPRZ_MOUSE	B9EKR1	PTPRZ_MOUSE	Ptprz1	2312	6.50	Mus musculus OX=10090	Receptor-type tyrosine-protein phosphatase zeta 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	7	7	7	     0	     0	     0	8C(57.0215)		
61	a	sp|D3YVF0|AKAP5_MOUSE	D3YVF0	AKAP5_MOUSE	Akap5	745	34.80	Mus musculus OX=10090	A-kinase anchor protein 5 	1:Experimental evidence at protein level	1.0000	0.9990	11	11	11	18	18	18	     0	     0	     0	1M(15.9949)		
62	a	sp|D3YWQ0|DGKI_MOUSE	D3YWQ0	DGKI_MOUSE	Dgki	1071	13.60	Mus musculus OX=10090	Diacylglycerol kinase iota 	1:Experimental evidence at protein level	1.0000	0.9990	7	5	6	11	9	10	     0	     0	     0	1M(15.9949)		
63	a	sp|D3YXJ0|DGKH_MOUSE	D3YXJ0	DGKH_MOUSE	Dgkh	1211	12.10	Mus musculus OX=10090	Diacylglycerol kinase eta 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	8	8	8	     0	     0	     0	10M(15.9949), 19M(15.9949), 2C(57.0215), 3M(15.9949)		
64	a	sp|D3YZI9|PGBD5_MOUSE	D3YZI9	PGBD5_MOUSE	Pgbd5	523	15.50	Mus musculus OX=10090	PiggyBac transposable element-derived protein 5 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	8M(15.9949)		
