Group	SubGroup	Protein	Protein ID	Entry Name	Gene	Length	Percent Coverage	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
1	a	CON_ALDOA_RABIT|SWISS-PROT:P00883	CON_ALDOA_RABIT|SWISS-PROT:P00883 Rabbit fructose-bisphosphate aldolase A			360	80.00				1.0000	0.9990	15	0	0	49	0	0	     0	     0	     0			
7	a	CON_IPI00019359.3|SWISS-PROT:P35527	CON_IPI00019359.3|SWISS-PROT:P35527 Tax_Id=9606 Gene_Symbol=KRT9 Keratin, type I cytoskeletal 9			623	98.20				1.0000	0.9990	60	58	60	308	302	308	     0	     0	     0	1M(15.9949), 3M(15.9949), 5C(57.0215), 5M(15.9949), 8M(15.9949)		
8	a	CON_IPI00454602.3|TREMBL:A3EZ82;Q32W66	CON_IPI00454602.3|TREMBL:A3EZ82;Q32W66 Tax_Id=9606 Gene_Symbol=DMKN Dermokine			476	13.40				1.0000	0.9990	1	1	1	2	2	2	     0	     0	     0			
9	a	CON_IPI00694255.1|TREMBL:Q3SX14	CON_IPI00694255.1|TREMBL:Q3SX14 (Bos taurus) Similar to Gelsolin			781	21.10				1.0000	0.9990	2	0	0	2	0	0	     0	     0	     0			
10	a	CON_LACB|SWISS-PROT:P02754	CON_LACB|SWISS-PROT:P02754 Beta-lactoglobulin - Bos taurus (Bovine).			162	32.10				1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0	8K(54.0474)		
13	a	CON_LysC|SWISS-PROT:P15636	CON_LysC|SWISS-PROT:P15636 Protease I precursor Lysyl endopeptidase Achromobacter lyticus.			653	34.60				1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0			
14	a	CON_MSA|SWISS-PROT:P07724	CON_MSA|SWISS-PROT:P07724 Serum albumin - Mus musculus (Mouse).			608	22.40				1.0000	0.9990	1	0	0	2	0	0	     0	     0	     0			sp|P07724|ALBU_MOUSE
31	a	sp|A2AGL3|RYR3_MOUSE	A2AGL3	RYR3_MOUSE	Ryr3	4863	4.20	Mus musculus OX=10090	Ryanodine receptor 3 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	0	1	0	0	     0	     0	     0			
32	a	sp|A2AGT5|CKAP5_MOUSE	A2AGT5	CKAP5_MOUSE	Ckap5	2032	19.10	Mus musculus OX=10090	Cytoskeleton-associated protein 5 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0			
34	a	sp|A2AJA9|AJM1_MOUSE	A2AJA9	AJM1_MOUSE	Ajm1	974	12.70	Mus musculus OX=10090	Apical junction component 1 homolog 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0			
