Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_1nucleus_25min_DIA_1.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_1nucleus_25min_DIA_2.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_1nucleus_25min_DIA_3.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_1nucleus_25min_DIA_4.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_1nucleus_25min_DIA_5.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_1nucleus_25min_DIA_6.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_blank_control_25min_DIA_1.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_blank_control_25min_DIA_2.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_blank_control_25min_DIA_3.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_blank_control_25min_DIA_4.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_blank_control_25min_DIA_5.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_1nucleus_25min_DIA_1.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_1nucleus_25min_DIA_2.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_1nucleus_25min_DIA_3.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_1nucleus_25min_DIA_4.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_1nucleus_25min_DIA_5.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_1nucleus_25min_DIA_6.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_1nucleus_25min_DIA_7.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_1nucleus_25min_DIA_8.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_2nucleus_25min_DIA_1.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_2nucleus_25min_DIA_2.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_2nucleus_25min_DIA_3.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_2nucleus_25min_DIA_4.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_2nucleus_25min_DIA_5.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_2nucleus_25min_DIA_6.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_2nucleus_25min_DIA_7.raw
A0A1W2P872	A0A1W2P872	NOVA2_MOUSE	Nova2	RNA-binding protein Nova-2	854.032												1008.87								750.918	600.388			933.526	1167.99
A0JNU3	A0JNU3	LPP60_MOUSE	Aspg	60 kDa lysophospholipase	11740.4	6863.25		4794.88	10473	21790.9						12561	16001.7	6175.87	12675.6	5527.38	6874.87	6388.01	6710.55		18067.9	14650	14691.8	10949.7	4871.9	16802.6
A1L317	A1L317	K1C24_MOUSE	Krt24	Keratin, type I cytoskeletal 24		87052.3					1.76746e+06		639605			23102.6	18989.4		5883.44		13848.4		6995.73	12838			14925.8			
A2A432	A2A432	CUL4B_MOUSE	Cul4b	Cullin-4B			2739.78	2634.15		4454.54							1416.87		1219.81	1186.15	712.671	955.044	749.471	1547.8	1096.66	1016.2	2777.62	1163.24	1574.54	1776.49
A2A4P0	A2A4P0	DHX8_MOUSE	Dhx8	ATP-dependent RNA helicase DHX8				1564.01		1463.85										305.653				436.829					534.489	438.022
A2A5I3;Q8BS03;Q8BZQ2	Q8BZQ2;A2A5I3;Q8BS03	CRLD2_MOUSE;CRSPL_MOUSE;PI15_MOUSE	Crispld2;Pi15;R3hdml	Peptidase inhibitor R3HDML			3750.84																							
A2A690	A2A690	TANC2_MOUSE	Tanc2	Protein TANC2		2242.22	31247.7	3812.41								1903.83	1146.15		1430.43	1209.61	1410.81	1723.97	2784.78	1865.2		1137.3		2769.58		
A2A8Z1	A2A8Z1	OSBL9_MOUSE	Osbpl9	Oxysterol-binding protein-related protein 9	1344.64	2299	4241.96										990.227	2373.22	1463.52	1426.27	1399.6	1204.33	1136.61	2060.93	1495.75	1628.02	2480.27	1661.02	1669.94	1730.43
A2A974	A2A974	CP4CB_MOUSE	Cyp4a12b	Cytochrome P450 4A12B															979.671	663.047	620.502	1666.64	3083.26		345.306			1163.47		
A2ADY9	A2ADY9	DDI2_MOUSE	Ddi2	Protein DDI1 homolog 2	10762.8	7915.57		17571.7	11184.4	20546.8						14097.1	9432.82	21538.4	7194.16	8006.86	8724.76	8332.68	7887.83	10414.9	7840.14	8621.11	13998.3	9290.46	9505.63	10028.1
A2AGT5	A2AGT5	CKAP5_MOUSE	Ckap5	Cytoskeleton-associated protein 5	385.212	481.705	2650.27										347.879		860.144	485.814	484.44	537.263	702.654	650.196	611.154	411.258		632.769	645.559	855.659
A2AIL4	A2AIL4	NDUF6_MOUSE	Ndufaf6	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6															617.635	955.649	1125.63	578.08	884.766		1868.98	3674.1		843.938		472.103
A2AJL3	A2AJL3	FGGY_MOUSE	Fggy	FGGY carbohydrate kinase domain-containing protein	15161.7	13042.5		12786.2	8648.81	13920.3						10718.4	8870.66	13327.6	9462	9750.67	7851.08	10699.2	10835.6	11977.6	8840.33	8847.08	9480.22	9986.87	12620.2	11604
A2AKB4	A2AKB4	FRPD1_MOUSE	Frmpd1	FERM and PDZ domain-containing protein 1	5331.79	5206.2	5882.38			3580.72														2263.62	1105.89	2810.73	3158.65			
