Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	InGel_1_1 Spectral Count	InGel_1_2 Spectral Count	InGel_1_3 Spectral Count	InGel_1_4 Spectral Count	InGel_1_5 Spectral Count	InGel_1_6 Spectral Count	InGel_2_1 Spectral Count	InGel_2_2 Spectral Count	InGel_2_3 Spectral Count	InGel_2_4 Spectral Count	InGel_2_5 Spectral Count	InGel_2_6 Spectral Count	InTip_1_1 Spectral Count	InTip_1_2 Spectral Count	InTip_1_3 Spectral Count	InTip_1_4 Spectral Count	InTip_1_5 Spectral Count	InTip_1_6 Spectral Count	InTip_2_1 Spectral Count	InTip_2_2 Spectral Count	InTip_2_3 Spectral Count	InTip_2_4 Spectral Count	InTip_2_5 Spectral Count	InTip_2_6 Spectral Count	InGel_1_1 Unique Spectral Count	InGel_1_2 Unique Spectral Count	InGel_1_3 Unique Spectral Count	InGel_1_4 Unique Spectral Count	InGel_1_5 Unique Spectral Count	InGel_1_6 Unique Spectral Count	InGel_2_1 Unique Spectral Count	InGel_2_2 Unique Spectral Count	InGel_2_3 Unique Spectral Count	InGel_2_4 Unique Spectral Count	InGel_2_5 Unique Spectral Count	InGel_2_6 Unique Spectral Count	InTip_1_1 Unique Spectral Count	InTip_1_2 Unique Spectral Count	InTip_1_3 Unique Spectral Count	InTip_1_4 Unique Spectral Count	InTip_1_5 Unique Spectral Count	InTip_1_6 Unique Spectral Count	InTip_2_1 Unique Spectral Count	InTip_2_2 Unique Spectral Count	InTip_2_3 Unique Spectral Count	InTip_2_4 Unique Spectral Count	InTip_2_5 Unique Spectral Count	InTip_2_6 Unique Spectral Count	InGel_1_1 Total Spectral Count	InGel_1_2 Total Spectral Count	InGel_1_3 Total Spectral Count	InGel_1_4 Total Spectral Count	InGel_1_5 Total Spectral Count	InGel_1_6 Total Spectral Count	InGel_2_1 Total Spectral Count	InGel_2_2 Total Spectral Count	InGel_2_3 Total Spectral Count	InGel_2_4 Total Spectral Count	InGel_2_5 Total Spectral Count	InGel_2_6 Total Spectral Count	InTip_1_1 Total Spectral Count	InTip_1_2 Total Spectral Count	InTip_1_3 Total Spectral Count	InTip_1_4 Total Spectral Count	InTip_1_5 Total Spectral Count	InTip_1_6 Total Spectral Count	InTip_2_1 Total Spectral Count	InTip_2_2 Total Spectral Count	InTip_2_3 Total Spectral Count	InTip_2_4 Total Spectral Count	InTip_2_5 Total Spectral Count	InTip_2_6 Total Spectral Count	InGel_1_1 Intensity	InGel_1_2 Intensity	InGel_1_3 Intensity	InGel_1_4 Intensity	InGel_1_5 Intensity	InGel_1_6 Intensity	InGel_2_1 Intensity	InGel_2_2 Intensity	InGel_2_3 Intensity	InGel_2_4 Intensity	InGel_2_5 Intensity	InGel_2_6 Intensity	InTip_1_1 Intensity	InTip_1_2 Intensity	InTip_1_3 Intensity	InTip_1_4 Intensity	InTip_1_5 Intensity	InTip_1_6 Intensity	InTip_2_1 Intensity	InTip_2_2 Intensity	InTip_2_3 Intensity	InTip_2_4 Intensity	InTip_2_5 Intensity	InTip_2_6 Intensity	InGel_1_1 MaxLFQ Intensity	InGel_1_2 MaxLFQ Intensity	InGel_1_3 MaxLFQ Intensity	InGel_1_4 MaxLFQ Intensity	InGel_1_5 MaxLFQ Intensity	InGel_1_6 MaxLFQ Intensity	InGel_2_1 MaxLFQ Intensity	InGel_2_2 MaxLFQ Intensity	InGel_2_3 MaxLFQ Intensity	InGel_2_4 MaxLFQ Intensity	InGel_2_5 MaxLFQ Intensity	InGel_2_6 MaxLFQ Intensity	InTip_1_1 MaxLFQ Intensity	InTip_1_2 MaxLFQ Intensity	InTip_1_3 MaxLFQ Intensity	InTip_1_4 MaxLFQ Intensity	InTip_1_5 MaxLFQ Intensity	InTip_1_6 MaxLFQ Intensity	InTip_2_1 MaxLFQ Intensity	InTip_2_2 MaxLFQ Intensity	InTip_2_3 MaxLFQ Intensity	InTip_2_4 MaxLFQ Intensity	InTip_2_5 MaxLFQ Intensity	InTip_2_6 MaxLFQ Intensity	Indistinguishable Proteins
CON_00166205.2|TREMBL:Q7RTT2	CON_00166205.2|TREMBL:Q7RTT2 Tax_Id=9606 Gene_Symbol=KRT78 Keratin-78	CON_00166205.2|TREMBL:Q7RTT2 Tax_Id=9606 Gene_Symbol=KRT78 Keratin-78		521			Tax_Id=9606	1.0	0.999	16	33	0	77	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	2	5	0	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	14	0	12	8	0	7	0	0	0	0	19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	175146.6	95625.66	0.0	77243.55	154527.81	0.0	0.0	0.0	0.0	0.0	0.0	67550.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87442.336	69810.49	0.0	48200.92	73276.28	0.0	0.0	0.0	0.0	0.0	0.0	121778.16	CON_IPI00166205.2|SWISS-PROT:Q8N1N4-2
CON_AMYS_HUMAN|SWISS-PROT:P04745	CON_AMYS_HUMAN|SWISS-PROT:P04745 Salivary alpha-amylase precursor (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrola	CON_AMYS_HUMAN|SWISS-PROT:P04745 Salivary alpha-amylase precursor (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrola		511			Salivary	1.0	0.999	9	88	33	88	3	4	2	2	3	4	0	0	0	0	0	0	12	10	15	10	11	12	0	0	0	0	0	0	2	3	1	2	3	4	0	0	0	0	0	0	5	1	4	2	2	4	0	0	0	0	0	0	3	4	2	2	3	4	0	0	0	0	0	0	12	10	15	10	11	12	0	0	0	0	0	0	105098.97	114290.99	106122.56	64675.223	39025.637	62943.535	0.0	0.0	0.0	0.0	0.0	0.0	159831.9	155810.48	179714.5	184276.4	184375.86	172923.78	0.0	0.0	0.0	0.0	0.0	0.0	60804.84	66545.35	61785.902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66224.71	63669.203	71779.02	74593.945	73773.234	70037.195	0.0	0.0	0.0	0.0	0.0	0.0	
CON_DHE3_BOVIN|SWISS-PROT:P00366	CON_DHE3_BOVIN|SWISS-PROT:P00366 Bovine glutamate dehydrogenase 1, mitochondrial precursor (E.C. 1.4.1.3)	CON_DHE3_BOVIN|SWISS-PROT:P00366 Bovine glutamate dehydrogenase 1, mitochondrial precursor (E.C. 1.4.1.3)		558			Bovine	1.0	0.999	91	89	89	5224	0	0	0	0	0	0	3	5	4	2	1	3	6	7	6	8	4	10	6	5	3	7	4	5	0	0	0	0	0	0	3	5	4	2	1	3	6	7	6	8	4	10	6	5	3	7	4	5	0	0	0	0	0	0	209	220	248	225	204	243	282	264	287	296	265	301	350	366	312	434	354	364	0.0	0.0	0.0	0.0	0.0	0.0	64099.832	117264.72	116844.88	59784.062	40916.51	150426.44	389789.88	430338.66	391835.94	305758.66	282109.06	366571.12	256732.88	358464.8	161560.28	448532.25	345713.53	199511.3	0.0	0.0	0.0	0.0	0.0	0.0	149243.6	136528.33	135269.33	141664.53	0.0	172565.77	148360.2	194790.23	151349.45	165992.03	160931.31	132186.61	141605.66	155296.67	108162.95	181466.39	136652.98	214478.9	
CON_IPI00009865.2|SWISS-PROT:P13645	CON_IPI00009865.2|SWISS-PROT:P13645 Tax_Id=9606 Gene_Symbol=KRT10 Keratin, type I cytoskeletal 10	CON_IPI00009865.2|SWISS-PROT:P13645 Tax_Id=9606 Gene_Symbol=KRT10 Keratin, type I cytoskeletal 10		593			Tax_Id=9606	1.0	0.999	130	2525	1603	2647	35	27	3	42	48	0	77	21	56	74	70	30	178	190	104	189	103	94	122	36	266	26	78	656	17	12	2	23	21	0	37	11	30	34	40	15	97	116	63	113	58	55	63	25	168	21	38	544	37	32	5	45	50	0	89	26	56	77	74	32	195	208	108	201	114	100	124	40	271	27	78	658	1726855.9	603479.4	0.0	2156405.5	1313817.5	0.0	4775414.0	465063.12	2466485.0	4590485.5	3085662.5	839674.94	8940346.0	1.1067018E7	4213578.5	4994392.5	4334493.0	3249400.5	4035842.0	721888.0	4333138.5	356151.7	1763772.5	8833427.0	831095.2	444842.47	2750518.2	924100.25	986480.06	0.0	2775692.5	250149.14	1361879.5	2581903.2	1681763.9	523533.88	5470061.0	5819702.0	2434373.2	2921997.2	2766351.2	2140039.0	2525276.2	470485.38	3270881.2	243860.94	1093741.9	4651736.5	
CON_IPI00009866.6|SWISS-PROT:P13646-1	CON_IPI00009866.6|SWISS-PROT:P13646-1 Tax_Id=9606 Gene_Symbol=KRT13 Isoform 1 of Keratin, type I cytoskeletal 13	CON_IPI00009866.6|SWISS-PROT:P13646-1 Tax_Id=9606 Gene_Symbol=KRT13 Isoform 1 of Keratin, type I cytoskeletal 13		458			Tax_Id=9606	1.0	0.999	13	4	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49002.992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
CON_IPI00009867.3|SWISS-PROT:P13647	CON_IPI00009867.3|SWISS-PROT:P13647 Tax_Id=9606 Gene_Symbol=KRT5 Keratin, type II cytoskeletal 5	CON_IPI00009867.3|SWISS-PROT:P13647 Tax_Id=9606 Gene_Symbol=KRT5 Keratin, type II cytoskeletal 5		590			Tax_Id=9606	1.0	0.999	82	545	161	1107	9	1	0	4	5	0	35	1	3	24	8	1	56	29	27	37	32	31	8	7	117	3	5	102	2	0	0	3	4	0	9	1	2	6	4	1	15	6	5	7	4	3	2	2	48	2	4	31	23	13	0	20	14	0	62	15	23	46	25	19	112	81	53	80	57	59	38	30	143	20	31	143	241285.14	54876.18	0.0	279359.62	214426.78	0.0	961164.4	43405.992	215064.47	570050.9	300065.3	89556.3	1204265.1	1048752.1	678568.75	873067.94	657421.6	489057.56	500022.97	221925.12	3410587.0	56659.758	185050.36	4891941.0	217001.84	0.0	0.0	153635.22	164969.55	0.0	565269.94	0.0	123679.75	340833.06	169710.62	0.0	766092.9	563878.5	358850.56	464921.47	388273.25	350059.75	351508.4	150352.55	836267.5	0.0	106006.16	668929.56	
CON_IPI00021304.1|SWISS-PROT:P35908	CON_IPI00021304.1|SWISS-PROT:P35908 Tax_Id=9606 Gene_Symbol=KRT2 Keratin, type II cytoskeletal 2 epidermal	CON_IPI00021304.1|SWISS-PROT:P35908 Tax_Id=9606 Gene_Symbol=KRT2 Keratin, type II cytoskeletal 2 epidermal		645			Tax_Id=9606	1.0	0.999	193	2658	2174	3102	31	14	2	43	19	0	85	7	42	71	61	26	172	196	109	243	104	84	165	58	104	40	89	893	26	12	0	32	11	0	63	5	33	52	47	18	136	163	86	215	84	68	117	46	73	34	68	785	42	25	8	58	29	0	105	19	59	97	86	41	217	231	130	270	124	106	184	74	119	52	109	917	733288.75	196507.92	71227.734	1158136.6	661048.4	0.0	3334527.8	238754.55	1382867.1	2352540.5	1254935.4	626811.1	3804199.0	5610149.5	2079030.8	2086296.1	2192548.0	1446793.6	2800293.5	469837.06	2900937.5	198645.6	978759.0	1.5295345E7	371719.34	197718.78	0.0	615745.6	393078.97	0.0	1478603.8	121944.25	625559.25	988829.2	574434.0	345677.5	2080940.0	3227069.2	1095813.6	1536146.2	1397250.0	827448.56	1398578.2	371850.75	1351192.9	167095.88	601403.6	4814754.0	
CON_IPI00103481.3|SWISS-PROT:Q14CN4-1	CON_IPI00103481.3|SWISS-PROT:Q14CN4-1 Tax_Id=9606 Gene_Symbol=KRT72 Isoform 1 of Keratin, type II cytoskeletal 72	CON_IPI00103481.3|SWISS-PROT:Q14CN4-1 Tax_Id=9606 Gene_Symbol=KRT72 Isoform 1 of Keratin, type II cytoskeletal 72		511			Tax_Id=9606	0.9788	0.9955	7	12	12	70	0	0	0	0	0	0	1	0	1	1	1	2	0	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	2	0	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	8	7	7	7	0	8	5	10	4	8	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	18447.559	0.0	34634.97	27632.408	31464.184	23474.309	0.0	0.0	140991.67	0.0	0.0	52734.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
CON_IPI00112947.1|SWISS-PROT:P19001	CON_IPI00112947.1|SWISS-PROT:P19001 Tax_Id=10090 Gene_Symbol=Krt19 Keratin, type I cytoskeletal 19	CON_IPI00112947.1|SWISS-PROT:P19001 Tax_Id=10090 Gene_Symbol=Krt19 Keratin, type I cytoskeletal 19		403			Tax_Id=10090	1.0	0.999	16	16	0	60	0	0	0	0	0	6	0	0	5	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	16	0	17	0	0	0	0	0	0	0	0	0	0	0	9	0	0.0	0.0	0.0	0.0	0.0	75253.19	0.0	0.0	49881.727	0.0	70096.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41399.387	0.0	0.0	28022.117	0.0	39368.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P19001|K1C19_MOUSE
CON_IPI00217963.3|SWISS-PROT:P08779	CON_IPI00217963.3|SWISS-PROT:P08779 Tax_Id=9606 Gene_Symbol=KRT16 Keratin, type I cytoskeletal 16	CON_IPI00217963.3|SWISS-PROT:P08779 Tax_Id=9606 Gene_Symbol=KRT16 Keratin, type I cytoskeletal 16		473			Tax_Id=9606	1.0	0.999	51	155	118	424	0	0	0	0	0	0	35	0	0	7	0	0	7	1	0	9	0	6	0	0	82	0	0	8	0	0	0	0	0	0	21	0	0	7	0	0	5	1	0	8	0	6	0	0	63	0	0	7	0	0	0	0	0	0	78	0	0	28	0	0	47	34	0	42	0	17	0	0	124	0	0	54	0.0	0.0	0.0	0.0	0.0	0.0	901011.0	0.0	0.0	0.0	0.0	0.0	136160.48	20378.748	0.0	166770.45	0.0	64415.684	0.0	0.0	996824.8	0.0	0.0	330047.03	0.0	0.0	0.0	0.0	0.0	0.0	397109.66	0.0	0.0	333690.62	0.0	0.0	116907.484	0.0	0.0	157981.8	0.0	135289.61	0.0	0.0	852365.94	0.0	0.0	195452.14	
