Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	10mMDTT_1 Spectral Count	10mMDTT_2 Spectral Count	10mMDTT_3 Spectral Count	10mMDTT_4 Spectral Count	10mMDTT_5 Spectral Count	10mMDTT_6 Spectral Count	20mMDTT_1 Spectral Count	20mMDTT_2 Spectral Count	20mMDTT_3 Spectral Count	20mMDTT_4 Spectral Count	20mMDTT_5 Spectral Count	20mMDTT_6 Spectral Count	20mMTCEP_1 Spectral Count	20mMTCEP_2 Spectral Count	20mMTCEP_3 Spectral Count	20mMTCEP_4 Spectral Count	20mMTCEP_5 Spectral Count	20mMTCEP_6 Spectral Count	45mMTCEP_1 Spectral Count	45mMTCEP_2 Spectral Count	45mMTCEP_3 Spectral Count	45mMTCEP_4 Spectral Count	45mMTCEP_5 Spectral Count	45mMTCEP_6 Spectral Count	InGelv1_1 Spectral Count	InGelv1_2 Spectral Count	InGelv1_3 Spectral Count	InGelv1_4 Spectral Count	MLQC_1 Spectral Count	MLQC_2 Spectral Count	MLQC_3 Spectral Count	10mMDTT_1 Unique Spectral Count	10mMDTT_2 Unique Spectral Count	10mMDTT_3 Unique Spectral Count	10mMDTT_4 Unique Spectral Count	10mMDTT_5 Unique Spectral Count	10mMDTT_6 Unique Spectral Count	20mMDTT_1 Unique Spectral Count	20mMDTT_2 Unique Spectral Count	20mMDTT_3 Unique Spectral Count	20mMDTT_4 Unique Spectral Count	20mMDTT_5 Unique Spectral Count	20mMDTT_6 Unique Spectral Count	20mMTCEP_1 Unique Spectral Count	20mMTCEP_2 Unique Spectral Count	20mMTCEP_3 Unique Spectral Count	20mMTCEP_4 Unique Spectral Count	20mMTCEP_5 Unique Spectral Count	20mMTCEP_6 Unique Spectral Count	45mMTCEP_1 Unique Spectral Count	45mMTCEP_2 Unique Spectral Count	45mMTCEP_3 Unique Spectral Count	45mMTCEP_4 Unique Spectral Count	45mMTCEP_5 Unique Spectral Count	45mMTCEP_6 Unique Spectral Count	InGelv1_1 Unique Spectral Count	InGelv1_2 Unique Spectral Count	InGelv1_3 Unique Spectral Count	InGelv1_4 Unique Spectral Count	MLQC_1 Unique Spectral Count	MLQC_2 Unique Spectral Count	MLQC_3 Unique Spectral Count	10mMDTT_1 Total Spectral Count	10mMDTT_2 Total Spectral Count	10mMDTT_3 Total Spectral Count	10mMDTT_4 Total Spectral Count	10mMDTT_5 Total Spectral Count	10mMDTT_6 Total Spectral Count	20mMDTT_1 Total Spectral Count	20mMDTT_2 Total Spectral Count	20mMDTT_3 Total Spectral Count	20mMDTT_4 Total Spectral Count	20mMDTT_5 Total Spectral Count	20mMDTT_6 Total Spectral Count	20mMTCEP_1 Total Spectral Count	20mMTCEP_2 Total Spectral Count	20mMTCEP_3 Total Spectral Count	20mMTCEP_4 Total Spectral Count	20mMTCEP_5 Total Spectral Count	20mMTCEP_6 Total Spectral Count	45mMTCEP_1 Total Spectral Count	45mMTCEP_2 Total Spectral Count	45mMTCEP_3 Total Spectral Count	45mMTCEP_4 Total Spectral Count	45mMTCEP_5 Total Spectral Count	45mMTCEP_6 Total Spectral Count	InGelv1_1 Total Spectral Count	InGelv1_2 Total Spectral Count	InGelv1_3 Total Spectral Count	InGelv1_4 Total Spectral Count	MLQC_1 Total Spectral Count	MLQC_2 Total Spectral Count	MLQC_3 Total Spectral Count	10mMDTT_1 Intensity	10mMDTT_2 Intensity	10mMDTT_3 Intensity	10mMDTT_4 Intensity	10mMDTT_5 Intensity	10mMDTT_6 Intensity	20mMDTT_1 Intensity	20mMDTT_2 Intensity	20mMDTT_3 Intensity	20mMDTT_4 Intensity	20mMDTT_5 Intensity	20mMDTT_6 Intensity	20mMTCEP_1 Intensity	20mMTCEP_2 Intensity	20mMTCEP_3 Intensity	20mMTCEP_4 Intensity	20mMTCEP_5 Intensity	20mMTCEP_6 Intensity	45mMTCEP_1 Intensity	45mMTCEP_2 Intensity	45mMTCEP_3 Intensity	45mMTCEP_4 Intensity	45mMTCEP_5 Intensity	45mMTCEP_6 Intensity	InGelv1_1 Intensity	InGelv1_2 Intensity	InGelv1_3 Intensity	InGelv1_4 Intensity	MLQC_1 Intensity	MLQC_2 Intensity	MLQC_3 Intensity	10mMDTT_1 MaxLFQ Intensity	10mMDTT_2 MaxLFQ Intensity	10mMDTT_3 MaxLFQ Intensity	10mMDTT_4 MaxLFQ Intensity	10mMDTT_5 MaxLFQ Intensity	10mMDTT_6 MaxLFQ Intensity	20mMDTT_1 MaxLFQ Intensity	20mMDTT_2 MaxLFQ Intensity	20mMDTT_3 MaxLFQ Intensity	20mMDTT_4 MaxLFQ Intensity	20mMDTT_5 MaxLFQ Intensity	20mMDTT_6 MaxLFQ Intensity	20mMTCEP_1 MaxLFQ Intensity	20mMTCEP_2 MaxLFQ Intensity	20mMTCEP_3 MaxLFQ Intensity	20mMTCEP_4 MaxLFQ Intensity	20mMTCEP_5 MaxLFQ Intensity	20mMTCEP_6 MaxLFQ Intensity	45mMTCEP_1 MaxLFQ Intensity	45mMTCEP_2 MaxLFQ Intensity	45mMTCEP_3 MaxLFQ Intensity	45mMTCEP_4 MaxLFQ Intensity	45mMTCEP_5 MaxLFQ Intensity	45mMTCEP_6 MaxLFQ Intensity	InGelv1_1 MaxLFQ Intensity	InGelv1_2 MaxLFQ Intensity	InGelv1_3 MaxLFQ Intensity	InGelv1_4 MaxLFQ Intensity	MLQC_1 MaxLFQ Intensity	MLQC_2 MaxLFQ Intensity	MLQC_3 MaxLFQ Intensity	Indistinguishable Proteins
CON_00166205.2|TREMBL:Q7RTT2	CON_00166205.2|TREMBL:Q7RTT2 Tax_Id=9606 Gene_Symbol=KRT78 Keratin-78	CON_00166205.2|TREMBL:Q7RTT2 Tax_Id=9606 Gene_Symbol=KRT78 Keratin-78		521			Tax_Id=9606	1.0	0.999	14	49	0	120	0	0	3	5	3	6	0	0	0	0	0	0	3	5	4	5	1	0	0	0	0	0	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	11	15	9	0	0	0	0	0	0	5	11	17	11	2	0	0	0	0	0	15	20	0	0	0	0	0	0	0	0.0	0.0	94135.61	167632.4	93276.58	138780.19	0.0	0.0	0.0	0.0	0.0	0.0	92333.34	101448.125	84046.305	149133.8	31206.584	0.0	0.0	0.0	0.0	0.0	171872.84	167722.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66108.734	66574.92	53981.562	54208.83	0.0	0.0	0.0	0.0	0.0	0.0	53630.88	58806.848	58389.445	58689.59	0.0	0.0	0.0	0.0	0.0	0.0	69563.38	67833.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	CON_IPI00166205.2|SWISS-PROT:Q8N1N4-2
CON_103456|SWISS-PROT:Q14533	CON_103456|SWISS-PROT:Q14533 Keratin, type II cuticular Hb1 (Hair keratin, type II Hb1) (ghHKb1) (ghHb1) (MLN	CON_103456|SWISS-PROT:Q14533 Keratin, type II cuticular Hb1 (Hair keratin, type II Hb1) (ghHKb1) (ghHb1) (MLN		505			Keratin,	0.9917	0.999	30	13	1	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	66	0	0	14	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	640250.8	732037.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	291032.2	284130.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
CON_105456|SWISS-PROT:Q9NSB2	CON_105456|SWISS-PROT:Q9NSB2 Keratin, type II cuticular Hb4 (Hair keratin, type II Hb4) - Homo sapiens (Human	CON_105456|SWISS-PROT:Q9NSB2 Keratin, type II cuticular Hb4 (Hair keratin, type II Hb4) - Homo sapiens (Human		600			Keratin,	1.0	0.999	17	14	0	50	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	16	0	5	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24500.68	0.0	15884.101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	CON_130456|TREMBL:Q6ISB0
CON_106456|SWISS-PROT:P78386	CON_106456|SWISS-PROT:P78386 Keratin, type II cuticular Hb5 (Hair keratin, type II Hb5) - Homo sapiens (Human	CON_106456|SWISS-PROT:P78386 Keratin, type II cuticular Hb5 (Hair keratin, type II Hb5) - Homo sapiens (Human		507			Keratin,	1.0	0.999	32	18	5	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	70	0	0	13	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	782264.6	745977.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	416394.88	363700.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
CON_107456|SWISS-PROT:O43790	CON_107456|SWISS-PROT:O43790 Keratin, type II cuticular Hb6 (Hair keratin, type II Hb6) (ghHb6) - Homo sapien	CON_107456|SWISS-PROT:O43790 Keratin, type II cuticular Hb6 (Hair keratin, type II Hb6) (ghHb6) - Homo sapien		486			Keratin,	1.0	0.999	32	28	11	174	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	3	1	4	5	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	68	66	6	7	19	3	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68055.29	75792.62	295170.16	0.0	0.0	0.0	0.0	
CON_108456|TREMBL:Q6IFU5	CON_108456|TREMBL:Q6IFU5 Type I hair keratin KA36 - Homo sapiens (Human).	CON_108456|TREMBL:Q6IFU5 Type I hair keratin KA36 - Homo sapiens (Human).		431			Type	0.0	0.999	3	9	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	22	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1359196.6	1410501.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
CON_109456|TREMBL:Q9UE12	CON_109456|TREMBL:Q9UE12 Type I hair keratin 1 - Homo sapiens (Human).	CON_109456|TREMBL:Q9UE12 Type I hair keratin 1 - Homo sapiens (Human).		416			Type	1.0	0.999	28	4	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	283356.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
CON_6685565|SWISS-PROT:O76013	CON_6685565|SWISS-PROT:O76013 Keratin, type I cuticular HA6 (Hair keratin, type I HA6)	CON_6685565|SWISS-PROT:O76013 Keratin, type I cuticular HA6 (Hair keratin, type I HA6)		467			Keratin,	0.9995	0.9989	12	9	7	75	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	1	0	0	0	3	0	0	0	31	33	0	0	3	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
CON_6686299|SWISS-PROT:Q14525	CON_6686299|SWISS-PROT:Q14525 Keratin, type I cuticular HA3-II (Hair keratin, type I HA3-II)	CON_6686299|SWISS-PROT:Q14525 Keratin, type I cuticular HA3-II (Hair keratin, type I HA3-II)		404			Keratin,	1.0	0.999	23	67	29	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	32	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	16	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	69	0	1	13	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1753238.0	1717884.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	919136.3	898139.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
CON_6686303|SWISS-PROT:Q92764	CON_6686303|SWISS-PROT:Q92764 Keratin, type I cuticular HA5 (Hair keratin, type I HA5)	CON_6686303|SWISS-PROT:Q92764 Keratin, type I cuticular HA5 (Hair keratin, type I HA5)		425			Keratin,	0.9999	0.999	19	32	6	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	42	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1077827.0	1040988.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	388141.22	379261.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
