Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	InGel_1500um_1 Spectral Count	InGel_1500um_2 Spectral Count	InGel_1500um_3 Spectral Count	InGel_1mm_1 Spectral Count	InGel_1mm_2 Spectral Count	InGel_1mm_3 Spectral Count	InGel_2mm_1 Spectral Count	InGel_2mm_2 Spectral Count	InGel_2mm_3 Spectral Count	InGel_3mm_1 Spectral Count	InGel_3mm_2 Spectral Count	InGel_3mm_3 Spectral Count	InTip_1500um_1 Spectral Count	InTip_1500um_2 Spectral Count	InTip_1500um_3 Spectral Count	InTip_1mm_1 Spectral Count	InTip_1mm_2 Spectral Count	InTip_1mm_3 Spectral Count	InTip_2mm_1 Spectral Count	InTip_2mm_2 Spectral Count	InTip_2mm_3 Spectral Count	InTip_350um_1 Spectral Count	InTip_350um_2 Spectral Count	InTip_350um_3 Spectral Count	InTip_3mm_1 Spectral Count	InTip_3mm_2 Spectral Count	InTip_3mm_3 Spectral Count	InTip_500um_1 Spectral Count	InTip_500um_2 Spectral Count	InTip_500um_3 Spectral Count	InTip_750um_1 Spectral Count	InTip_750um_2 Spectral Count	InTip_750um_3 Spectral Count	InGel_1500um_1 Unique Spectral Count	InGel_1500um_2 Unique Spectral Count	InGel_1500um_3 Unique Spectral Count	InGel_1mm_1 Unique Spectral Count	InGel_1mm_2 Unique Spectral Count	InGel_1mm_3 Unique Spectral Count	InGel_2mm_1 Unique Spectral Count	InGel_2mm_2 Unique Spectral Count	InGel_2mm_3 Unique Spectral Count	InGel_3mm_1 Unique Spectral Count	InGel_3mm_2 Unique Spectral Count	InGel_3mm_3 Unique Spectral Count	InTip_1500um_1 Unique Spectral Count	InTip_1500um_2 Unique Spectral Count	InTip_1500um_3 Unique Spectral Count	InTip_1mm_1 Unique Spectral Count	InTip_1mm_2 Unique Spectral Count	InTip_1mm_3 Unique Spectral Count	InTip_2mm_1 Unique Spectral Count	InTip_2mm_2 Unique Spectral Count	InTip_2mm_3 Unique Spectral Count	InTip_350um_1 Unique Spectral Count	InTip_350um_2 Unique Spectral Count	InTip_350um_3 Unique Spectral Count	InTip_3mm_1 Unique Spectral Count	InTip_3mm_2 Unique Spectral Count	InTip_3mm_3 Unique Spectral Count	InTip_500um_1 Unique Spectral Count	InTip_500um_2 Unique Spectral Count	InTip_500um_3 Unique Spectral Count	InTip_750um_1 Unique Spectral Count	InTip_750um_2 Unique Spectral Count	InTip_750um_3 Unique Spectral Count	InGel_1500um_1 Total Spectral Count	InGel_1500um_2 Total Spectral Count	InGel_1500um_3 Total Spectral Count	InGel_1mm_1 Total Spectral Count	InGel_1mm_2 Total Spectral Count	InGel_1mm_3 Total Spectral Count	InGel_2mm_1 Total Spectral Count	InGel_2mm_2 Total Spectral Count	InGel_2mm_3 Total Spectral Count	InGel_3mm_1 Total Spectral Count	InGel_3mm_2 Total Spectral Count	InGel_3mm_3 Total Spectral Count	InTip_1500um_1 Total Spectral Count	InTip_1500um_2 Total Spectral Count	InTip_1500um_3 Total Spectral Count	InTip_1mm_1 Total Spectral Count	InTip_1mm_2 Total Spectral Count	InTip_1mm_3 Total Spectral Count	InTip_2mm_1 Total Spectral Count	InTip_2mm_2 Total Spectral Count	InTip_2mm_3 Total Spectral Count	InTip_350um_1 Total Spectral Count	InTip_350um_2 Total Spectral Count	InTip_350um_3 Total Spectral Count	InTip_3mm_1 Total Spectral Count	InTip_3mm_2 Total Spectral Count	InTip_3mm_3 Total Spectral Count	InTip_500um_1 Total Spectral Count	InTip_500um_2 Total Spectral Count	InTip_500um_3 Total Spectral Count	InTip_750um_1 Total Spectral Count	InTip_750um_2 Total Spectral Count	InTip_750um_3 Total Spectral Count	InGel_1500um_1 Intensity	InGel_1500um_2 Intensity	InGel_1500um_3 Intensity	InGel_1mm_1 Intensity	InGel_1mm_2 Intensity	InGel_1mm_3 Intensity	InGel_2mm_1 Intensity	InGel_2mm_2 Intensity	InGel_2mm_3 Intensity	InGel_3mm_1 Intensity	InGel_3mm_2 Intensity	InGel_3mm_3 Intensity	InTip_1500um_1 Intensity	InTip_1500um_2 Intensity	InTip_1500um_3 Intensity	InTip_1mm_1 Intensity	InTip_1mm_2 Intensity	InTip_1mm_3 Intensity	InTip_2mm_1 Intensity	InTip_2mm_2 Intensity	InTip_2mm_3 Intensity	InTip_350um_1 Intensity	InTip_350um_2 Intensity	InTip_350um_3 Intensity	InTip_3mm_1 Intensity	InTip_3mm_2 Intensity	InTip_3mm_3 Intensity	InTip_500um_1 Intensity	InTip_500um_2 Intensity	InTip_500um_3 Intensity	InTip_750um_1 Intensity	InTip_750um_2 Intensity	InTip_750um_3 Intensity	InGel_1500um_1 MaxLFQ Intensity	InGel_1500um_2 MaxLFQ Intensity	InGel_1500um_3 MaxLFQ Intensity	InGel_1mm_1 MaxLFQ Intensity	InGel_1mm_2 MaxLFQ Intensity	InGel_1mm_3 MaxLFQ Intensity	InGel_2mm_1 MaxLFQ Intensity	InGel_2mm_2 MaxLFQ Intensity	InGel_2mm_3 MaxLFQ Intensity	InGel_3mm_1 MaxLFQ Intensity	InGel_3mm_2 MaxLFQ Intensity	InGel_3mm_3 MaxLFQ Intensity	InTip_1500um_1 MaxLFQ Intensity	InTip_1500um_2 MaxLFQ Intensity	InTip_1500um_3 MaxLFQ Intensity	InTip_1mm_1 MaxLFQ Intensity	InTip_1mm_2 MaxLFQ Intensity	InTip_1mm_3 MaxLFQ Intensity	InTip_2mm_1 MaxLFQ Intensity	InTip_2mm_2 MaxLFQ Intensity	InTip_2mm_3 MaxLFQ Intensity	InTip_350um_1 MaxLFQ Intensity	InTip_350um_2 MaxLFQ Intensity	InTip_350um_3 MaxLFQ Intensity	InTip_3mm_1 MaxLFQ Intensity	InTip_3mm_2 MaxLFQ Intensity	InTip_3mm_3 MaxLFQ Intensity	InTip_500um_1 MaxLFQ Intensity	InTip_500um_2 MaxLFQ Intensity	InTip_500um_3 MaxLFQ Intensity	InTip_750um_1 MaxLFQ Intensity	InTip_750um_2 MaxLFQ Intensity	InTip_750um_3 MaxLFQ Intensity	Indistinguishable Proteins
CON_00166205.2|TREMBL:Q7RTT2	CON_00166205.2|TREMBL:Q7RTT2 Tax_Id=9606 Gene_Symbol=KRT78 Keratin-78	CON_00166205.2|TREMBL:Q7RTT2 Tax_Id=9606 Gene_Symbol=KRT78 Keratin-78		521			Tax_Id=9606	1.0	0.999	30	243	0	468	0	0	0	0	0	0	0	0	0	0	0	0	6	7	6	5	2	2	2	4	5	18	18	14	0	0	0	50	50	45	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	12	15	8	12	16	16	21	30	28	24	0	0	0	73	79	70	13	11	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34165.21	37868.973	0.0	136533.5	0.0	44751.23	38429.64	37558.305	37545.695	508465.0	806748.6	743491.2	0.0	0.0	0.0	2654396.0	2862725.2	2577370.8	165619.98	47744.83	50984.406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55644.86	64236.082	68247.71	90510.26	60660.984	76220.32	64765.3	60825.098	55871.19	377001.22	384631.25	368431.75	0.0	0.0	0.0	1193942.4	1250430.4	1211407.2	80708.77	70602.54	76355.55	CON_IPI00166205.2|SWISS-PROT:Q8N1N4-2
CON_AMYS_HUMAN|SWISS-PROT:P04745	CON_AMYS_HUMAN|SWISS-PROT:P04745 Salivary alpha-amylase precursor (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrola	CON_AMYS_HUMAN|SWISS-PROT:P04745 Salivary alpha-amylase precursor (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrola		511			Salivary	1.0	0.999	17	255	113	255	0	0	1	0	0	0	6	7	4	24	25	24	7	5	6	2	3	1	12	19	14	0	0	0	30	27	26	0	0	0	8	1	3	0	0	1	0	0	0	4	2	2	9	6	7	6	3	5	1	1	0	5	5	5	0	0	0	15	17	16	0	0	0	3	0	0	0	0	1	0	0	0	6	7	4	24	25	24	7	5	6	2	3	1	12	19	14	0	0	0	30	27	26	0	0	0	8	1	3	0.0	0.0	102054.96	0.0	0.0	0.0	265761.3	243773.9	222809.39	682838.75	644671.6	632134.56	127872.09	93439.08	132664.03	82257.64	115760.82	42283.598	229822.81	241360.81	228000.86	0.0	0.0	0.0	469216.12	478894.0	539654.25	0.0	0.0	0.0	172427.28	50301.59	48783.457	0.0	0.0	0.0	0.0	0.0	0.0	180648.31	164552.36	150654.3	313555.5	297469.84	296716.88	96493.44	83047.875	99906.03	62038.746	86720.64	0.0	118104.88	123933.1	119447.25	0.0	0.0	0.0	175885.47	180255.44	193348.84	0.0	0.0	0.0	84547.95	0.0	117795.08	
CON_CASA1|SWISS-PROT:P02662	CON_CASA1|SWISS-PROT:P02662 Alpha-S1-casein - Bos taurus (Bovine).	CON_CASA1|SWISS-PROT:P02662 Alpha-S1-casein - Bos taurus (Bovine).		199			Alpha-S1-casein	0.9397	0.999	1	7	7	7	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66868.35	52291.95	42904.527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
CON_DHE3_BOVIN|SWISS-PROT:P00366	CON_DHE3_BOVIN|SWISS-PROT:P00366 Bovine glutamate dehydrogenase 1, mitochondrial precursor (E.C. 1.4.1.3)	CON_DHE3_BOVIN|SWISS-PROT:P00366 Bovine glutamate dehydrogenase 1, mitochondrial precursor (E.C. 1.4.1.3)		558			Bovine	1.0	0.999	125	86	86	5520	0	0	0	0	0	0	0	1	0	6	4	5	3	6	5	1	3	1	10	8	7	0	0	0	5	4	8	0	0	0	3	3	3	0	0	0	0	0	0	0	1	0	6	4	5	3	6	5	1	3	1	10	8	7	0	0	0	5	4	8	0	0	0	3	3	3	0	0	0	0	0	0	0	192	0	316	296	301	297	298	293	254	250	226	367	374	356	0	0	0	361	369	364	0	0	0	183	211	212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	389062.53	394475.7	355395.8	183602.3	186439.98	188789.06	86494.28	75686.01	73257.16	142933.98	463484.4	488393.5	0.0	0.0	0.0	451214.66	458868.4	449105.47	0.0	0.0	0.0	90440.69	73783.15	191958.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	375253.22	384248.88	360131.88	214028.64	199639.17	208936.36	0.0	0.0	0.0	193766.16	398582.66	356587.22	0.0	0.0	0.0	438771.94	436404.0	433796.7	0.0	0.0	0.0	89174.36	74830.91	0.0	
CON_IPI00009865.2|SWISS-PROT:P13645	CON_IPI00009865.2|SWISS-PROT:P13645 Tax_Id=9606 Gene_Symbol=KRT10 Keratin, type I cytoskeletal 10	CON_IPI00009865.2|SWISS-PROT:P13645 Tax_Id=9606 Gene_Symbol=KRT10 Keratin, type I cytoskeletal 10		593			Tax_Id=9606	1.0	0.999	149	4642	2584	4874	36	34	32	38	44	40	73	75	70	35	46	43	212	220	223	152	180	147	164	179	171	193	161	150	92	113	106	403	397	424	125	139	125	13	17	13	19	24	17	33	38	32	20	27	29	120	135	124	79	106	77	120	126	123	88	74	68	66	83	74	210	212	226	62	73	56	39	36	34	41	46	41	75	82	74	36	51	50	216	225	225	157	184	152	176	190	188	205	176	159	99	124	116	413	412	443	133	146	130	3061300.5	2637256.2	2925655.5	2347728.0	2386832.5	2776398.2	4235526.5	4219142.0	4183647.2	655456.6	692246.75	692171.5	7139055.0	7094144.0	7157744.5	8587290.0	8594800.0	9006739.0	4407095.0	3969699.2	4015844.2	5.5086984E7	5.4661952E7	5.4952752E7	1684575.8	1907349.0	1909588.2	1.23988912E8	1.31090448E8	1.25649376E8	1.189373E7	1.2006256E7	1.183815E7	1726409.9	1670531.8	1859990.2	1876326.5	1830056.1	2193216.2	1770302.2	1844446.0	1865913.1	586606.94	688249.1	707161.6	4675263.5	4584016.5	4760151.5	5479445.5	5771604.0	5735972.5	3175671.8	3213118.2	3103129.5	3.8603544E7	3.8321328E7	3.852868E7	1612551.2	1558127.1	1515216.6	9.4507656E7	9.5962848E7	9.479116E7	7898470.0	7976372.0	8000488.0	
CON_IPI00009867.3|SWISS-PROT:P13647	CON_IPI00009867.3|SWISS-PROT:P13647 Tax_Id=9606 Gene_Symbol=KRT5 Keratin, type II cytoskeletal 5	CON_IPI00009867.3|SWISS-PROT:P13647 Tax_Id=9606 Gene_Symbol=KRT5 Keratin, type II cytoskeletal 5		590			Tax_Id=9606	1.0	0.999	86	1726	395	2857	7	7	4	20	13	31	8	8	7	5	9	7	67	56	68	50	59	53	46	43	48	80	91	91	15	15	17	230	226	200	50	42	53	4	4	1	17	9	22	4	3	4	2	4	2	16	13	16	9	12	13	6	10	10	20	20	20	4	3	3	38	33	36	11	12	14	14	15	10	20	15	34	31	30	28	34	38	31	107	98	109	95	102	98	87	81	97	116	120	128	63	60	57	314	312	276	81	70	86	547871.8	617645.75	691738.2	602968.3	675848.3	696696.9	523120.8	463321.56	407259.12	213587.69	122110.71	138521.97	1988314.8	2011684.6	1936337.9	2549203.5	2290363.5	2404373.5	1087768.2	1366217.1	1134143.5	1.4225872E7	1.3879178E7	1.3658963E7	264827.44	139443.97	153465.3	3.2223408E7	3.2098896E7	3.2732944E7	1994244.6	2052677.6	2042336.8	331388.0	368392.0	419035.97	431006.1	514931.25	585107.5	258327.97	243750.06	196669.08	111256.61	102336.58	110941.94	786944.44	771625.56	782082.56	1153523.4	1003090.25	1088948.6	561573.9	599551.7	569020.1	5629338.0	5928481.5	5934708.5	179075.38	239513.94	267234.9	1.2540728E7	1.2564204E7	1.2964275E7	976379.44	990341.3	990399.3	
CON_IPI00017870.1|TREMBL:Q9H552	CON_IPI00017870.1|TREMBL:Q9H552 Tax_Id=9606 Gene_Symbol=- Keratin-8-like protein 1	CON_IPI00017870.1|TREMBL:Q9H552 Tax_Id=9606 Gene_Symbol=- Keratin-8-like protein 1		499			Tax_Id=9606	0.9994	0.999	23	16	6	291	0	0	0	0	0	0	0	2	2	1	3	3	0	0	0	0	0	0	1	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	35	31	26	33	33	0	0	0	0	0	0	34	0	42	0	0	0	24	0	33	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51101.523	41432.055	0.0	44041.645	41980.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38544.668	0.0	0.0	33340.625	32526.275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
CON_IPI00019359.3|SWISS-PROT:P35527	CON_IPI00019359.3|SWISS-PROT:P35527 Tax_Id=9606 Gene_Symbol=KRT9 Keratin, type I cytoskeletal 9	CON_IPI00019359.3|SWISS-PROT:P35527 Tax_Id=9606 Gene_Symbol=KRT9 Keratin, type I cytoskeletal 9		623			Tax_Id=9606	1.0	0.999	156	6070	5818	6070	51	68	66	105	101	110	24	25	30	41	49	44	304	289	310	298	291	266	331	321	311	190	199	187	119	114	110	409	424	472	137	141	133	48	66	64	102	99	109	22	18	26	40	44	37	300	284	308	293	287	261	318	307	290	178	184	178	112	103	100	395	404	450	129	134	128	51	68	66	105	101	110	24	25	30	41	49	44	304	289	310	298	291	266	331	321	311	190	199	187	119	114	110	409	424	472	137	141	133	8529852.0	8526338.0	8127992.0	1.9395398E7	1.9590782E7	1.926937E7	676207.4	655360.9	641031.94	1437534.8	1289218.0	1271219.2	8203441.0	9046310.0	8633054.0	2.1072436E7	1.831474E7	1.9612752E7	1.0571408E7	8209093.0	8326458.0	6.3974024E7	6.2496384E7	6.0580244E7	2465654.0	2047140.0	2022171.5	1.1019296E8	1.08957088E8	1.11040408E8	9613082.0	9102320.0	9375300.0	2190806.5	3819107.8	4699948.0	5410221.5	4998523.0	3953889.0	601827.3	663407.56	634620.7	698451.56	836354.4	873448.8	5093727.5	5230412.0	5670124.5	8619776.0	8968756.0	9795083.0	5153445.0	4950731.0	4918188.0	3.292571E7	3.3345984E7	3.3169558E7	1664209.6	1413505.1	1392373.2	6.5782408E7	6.4345528E7	6.833216E7	5508535.0	5267508.5	5584643.5	
CON_IPI00021304.1|SWISS-PROT:P35908	CON_IPI00021304.1|SWISS-PROT:P35908 Tax_Id=9606 Gene_Symbol=KRT2 Keratin, type II cytoskeletal 2 epidermal	CON_IPI00021304.1|SWISS-PROT:P35908 Tax_Id=9606 Gene_Symbol=KRT2 Keratin, type II cytoskeletal 2 epidermal		645			Tax_Id=9606	1.0	0.999	176	5091	4093	6129	42	42	35	34	41	49	71	75	70	31	32	33	293	281	309	156	132	153	173	161	162	210	178	185	71	67	66	526	520	490	134	130	139	33	33	27	23	31	38	53	58	51	19	23	21	245	231	257	113	101	119	155	137	141	163	144	138	59	55	56	428	422	403	105	103	108	53	53	46	45	50	57	96	97	91	47	49	46	321	308	339	193	171	191	206	194	205	244	213	222	98	91	90	627	622	584	159	155	166	2114145.0	1837628.8	1870919.8	1919978.8	1991149.2	2359236.5	2161496.5	2284655.0	2252923.2	288047.3	431755.88	394396.8	3789518.5	3824272.0	3832062.8	3273095.2	3323317.8	3353156.2	2042942.2	2307006.2	2196957.0	3.1419362E7	3.5212592E7	3.0594198E7	432309.06	432972.9	419616.94	1.0337816E8	1.03104136E8	1.01423856E8	6720675.0	6772803.5	6635263.0	803559.0	813530.4	883823.5	1221308.6	1064024.0	1104101.0	1020886.94	1007758.1	932904.56	235821.66	288528.06	278692.4	2524886.0	2442894.0	2492670.8	2357937.8	2405564.5	2343705.8	1285493.0	1264630.4	1313999.6	1.3305704E7	1.3526233E7	1.4232072E7	719385.6	595983.1	596013.0	4.319432E7	4.4688772E7	4.5510224E7	3584889.2	3593711.2	3579426.0	
CON_IPI00103481.3|SWISS-PROT:Q14CN4-1	CON_IPI00103481.3|SWISS-PROT:Q14CN4-1 Tax_Id=9606 Gene_Symbol=KRT72 Isoform 1 of Keratin, type II cytoskeletal 72	CON_IPI00103481.3|SWISS-PROT:Q14CN4-1 Tax_Id=9606 Gene_Symbol=KRT72 Isoform 1 of Keratin, type II cytoskeletal 72		511			Tax_Id=9606	0.9987	0.999	12	80	20	300	0	0	0	0	0	0	0	2	2	2	3	1	1	1	1	0	0	2	2	1	4	5	3	3	0	0	3	9	10	7	6	6	6	0	0	0	0	0	0	0	2	2	2	3	1	1	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	2	1	0	1	1	0	0	0	0	0	0	0	11	7	7	11	7	9	9	5	0	0	12	9	8	14	12	10	13	0	0	9	34	40	33	12	16	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143830.97	144657.16	0.0	0.0	268291.25	148292.22	0.0	143853.72	613570.44	598824.4	648647.06	0.0	0.0	91954.56	3121135.0	3160578.2	3177079.2	222933.12	208698.52	143033.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	268291.25	0.0	0.0	178369.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	173615.86	138666.03	
