Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	Homo sapiens OX=9606	CCR4-NOT transcription complex subunit 1 	1:Experimental evidence at protein level	1.0000	0.9989	1	1	1	1	1	1	31125.979	31125.979	31125.979			
sp|A8K7I4|CLCA1_HUMAN	A8K7I4	CLCA1_HUMAN	CLCA1	914	Homo sapiens OX=9606	Calcium-activated chloride channel regulator 1 	1:Experimental evidence at protein level	1.0000	0.9990	16	16	16	39	39	39	278621.28	278621.28	278621.28	12C(57.0214),13C(57.0214),1M(15.9949),1C(57.0214)		
sp|B5ME19|EIFCL_HUMAN	B5ME19	EIFCL_HUMAN	EIF3CL	914	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit C-like protein 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	6	0	6	200982.06	0	200982.06	10M(15.9949)		sp|Q99613|EIF3C_HUMAN
sp|E9PAV3|NACAM_HUMAN	E9PAV3	NACAM_HUMAN	NACA	2078	Homo sapiens OX=9606	Nascent polypeptide-associated complex subunit alpha, muscle-specific form 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	11	0	11	57960.168	0	57960.168	6M(15.9949)		sp|Q13765|NACA_HUMAN
sp|O00151|PDLI1_HUMAN	O00151	PDLI1_HUMAN	PDLIM1	329	Homo sapiens OX=9606	PDZ and LIM domain protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	11	11	11	450636.78	450636.78	450636.78	3M(15.9949)		
sp|O00154|BACH_HUMAN	O00154	BACH_HUMAN	ACOT7	380	Homo sapiens OX=9606	Cytosolic acyl coenzyme A thioester hydrolase 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	53421.26	53421.26	53421.26	1M(15.9949)		
sp|O00159|MYO1C_HUMAN	O00159	MYO1C_HUMAN	MYO1C	1063	Homo sapiens OX=9606	Unconventional myosin-Ic 	1:Experimental evidence at protein level	1.0000	0.9987	2	2	2	2	2	2	74235.4	74235.4	74235.4			
sp|O00186|STXB3_HUMAN	O00186	STXB3_HUMAN	STXBP3	592	Homo sapiens OX=9606	Syntaxin-binding protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	43672.05	43672.05	43672.05			
sp|O00231|PSD11_HUMAN	O00231	PSD11_HUMAN	PSMD11	422	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 11 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	7	7	7	59295.555	59295.555	59295.555			
sp|O00264|PGRC1_HUMAN	O00264	PGRC1_HUMAN	PGRMC1	195	Homo sapiens OX=9606	Membrane-associated progesterone receptor component 1 	1:Experimental evidence at protein level	1.0000	0.9964	1	1	1	1	1	1	20525.678	20525.678	20525.678			
